Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date  
S50H19,BU-00536,B,1,1134.80,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00537,B,1,1134.00,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00538,B,1,1134.00,0.00,17.10,1.19,0.00,18.29
S50H19P1100,SH-00539,S,10,25.30,50600.00,351.00,24.57,0.00,375.57
S50H19,SE-00303,S,3,1089.50,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00304,S,3,1090.50,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00305,S,3,1090.50,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00306,S,2,1090.50,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00307,S,2,1090.50,0.00,34.20,2.39,0.00,36.59
S50H19,BH-00308,B,1,1091.90,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00309,B,4,1091.90,0.00,68.40,4.79,0.00,73.19
S50H19P1100,BH-00310,B,1,45.00,-9000.00,35.10,2.46,0.00,37.56   22102018
S50H19C1075,SH-00842,S,10,46.00,92000.00,351.00,24.57,0.00,375.57  25102018
S50H19,BH-00346,B,1,1078.40,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00347,B,2,1078.40,0.00,34.20,2.39,0.00,36.59
S50H19,BH-00348,B,2,1078.40,0.00,34.20,2.39,0.00,36.59   30102018
S50H19P1075,BU-00374,B,1,32.70,-6540.00,35.10,2.46,0.00,37.56
S50H19P1075,BU-00375,B,1,32.70,-6540.00,35.10,2.46,0.00,37.56   12112018
S50H19P1075,SH-00495,S,1,44.00,8800.00,35.10,2.46,0.00,37.56
S50H19P1075,SH-00496,S,1,44.00,8800.00,35.10,2.46,0.00,37.56
S50H19P1075,SH-00497,S,1,44.00,8800.00,35.10,2.46,0.00,37.56
S50H19P1075,SH-00498,S,2,44.00,17600.00,70.20,4.91,0.00,75.11   22112018
S50H19,SH-00779,S,1,1105.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00780,S,4,1105.00,0.00,68.40,4.79,0.00,73.19
S50H19,BH-00781,B,5,1108.50,0.00,85.50,5.99,0.00,91.49   03122018
S50Z18,BH-00339,B,2,1118.50,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00340,B,2,1118.50,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00341,B,1,1118.50,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00342,S,5,1120.10,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00343,B,4,1120.10,0.00,68.40,4.79,0.00,73.19
S50Z18,BH-00344,B,1,1120.10,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00345,S,5,1120.60,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00346,B,2,1119.20,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00347,B,1,1119.20,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00348,B,1,1119.20,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00349,B,1,1119.20,0.00,17.10,1.19,0.00,18.29   04122018
S50H19P1075,SH-00495,S,2,40.00,16000.00,70.20,4.91,0.00,75.11
S50H19P1075,SH-00496,S,1,40.00,8000.00,35.10,2.46,0.00,37.56
S50H19P1075,SH-00497,S,1,40.00,8000.00,35.10,2.46,0.00,37.56
S50H19P1075,SH-00498,S,1,40.00,8000.00,35.10,2.46,0.00,37.56   14122018
S50H19,BU-00554,B,5,1060.00,0.00,85.50,5.99,0.00,91.49   21122018
S50H19,SE-00539,S,1,1060.50,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00540,S,3,1060.50,0.00,51.30,3.59,0.00,54.89
S50H19,SE-00541,S,1,1060.50,0.00,17.10,1.20,0.00,18.30   24122018
S50H19,BU-00988,B,1,1040.00,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00989,B,4,1040.00,0.00,68.40,4.79,0.00,73.19
S50H19,BU-00990,B,3,1030.00,0.00,51.30,3.59,0.00,54.89
S50H19,BU-00991,B,2,1030.00,0.00,34.20,2.39,0.00,36.59
S50H19,BU-00992,B,4,1023.80,0.00,68.40,4.79,0.00,73.19
S50H19,BU-00993,B,1,1023.80,0.00,17.10,1.20,0.00,18.30   27122018
S50H19,SE-00520,S,3,1043.00,0.00,51.30,3.59,0.00,54.89
S50H19,SE-00521,S,2,1043.00,0.00,34.20,2.40,0.00,36.60
S50H19P1000,SH-00522,S,3,17.20,10320.00,105.30,7.37,0.00,112.67
S50H19P1000,SH-00523,S,2,17.20,6880.00,70.20,4.92,0.00,75.12   02012019
S50H19,SE-00770,S,5,1040.00,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00771,S,2,1039.80,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00772,S,9,1039.80,0.00,153.90,10.77,0.00,164.67
S50H19,SH-00773,S,2,1039.80,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00774,S,1,1039.80,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00775,S,1,1039.80,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00776,B,2,1031.50,0.00,34.20,2.39,0.00,36.59
S50H19,BH-00777,B,1,1031.50,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00778,B,1,1037.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00779,B,1,1037.30,0.00,17.10,1.20,0.00,18.30   03012019
S50H19,SH-00907,S,3,1033.70,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00908,S,17,1033.70,0.00,290.70,20.35,0.00,311.05
